Index,State, Population ,,,,,,,,
1,Jammu and Kashmir,10069917,,,,,,,,
2,Himachal Pradesh,6077248,,,,,,,,
3,Punjab,24289296,,,,,,,,
4,Chandigarh,900914,,,,,,,,
5,Uttaranchal,8479562,,,,,,,,
6,Haryana,21082989,,,,,,,,
7,Delhi,13782976,,,,,,,,
8,Rajasthan,56473122,,,,,,,,
9,Uttar Pradesh,166052859,,,,,,,,
10,Bihar,82878796,,,,,,,,
11,Sikkim,540493,,,,,,,,
12,Arunachal Pradesh,1091117,,,,,,,,
13,Nagaland,1988636,,,,,,,,
14,Manipur,2388634,,,,,,,,
15,Mizoram,891058,,,,,,,,
16,Tripura,3191168,,,,,,,,
17,Meghalaya,2306069,,,,,,,,
18,Assam,26638407,,,,,,,,
19,West Bengal,80221171,,,,,,,,
20,Jharkhand,26909428,,,,,,,,
21,Orissa,36706920,,,,,,,,
22,Chhatisgarh,20795956,,,,,,,,
23,Madhya Pradesh,60385118,,,,,,,,
24,Gujarat,50596992,,,,,,,,
25,Daman & Diu,158059,,,,,,,,
26,Dadra & Nagar Haveli,220451,,,,,,,,
27,Maharashtra,96752247,,,,,,,,
28,Andhra Pradesh,75727541,,,,,,,,
29,Karnataka,52733958,,,,,,,,
30,Goa,1343998,,,,,,,,
31,Lakshadweep,60595,,,,,,,,
32,Kerala,31838619,,,,,,,,
33,Tamil Nadu,62110839,,,,,,,,
34,Pondicherry,973829,,,,,,,,
35,Andaman & Nicobar Islands*,356265,,,,,,,,
,INDIA Total ,1027015247,,,,,,,,
